Ilość epok: 300,
Beta: 1.5
Eta: 0.1
Normalizacja: 1
Wagi losowane z zakresu (-0.05, 0.05)
Epoka 0 | Średni błąd = 0.2536783727111512
Epoka 100 | Średni błąd = 0.101739579221251
Epoka 200 | Średni błąd = 0.10075493301851582
Epoka 299 | Średni błąd = 0.10023853799857967

 KOŃCOWE WAGI I BIASY PO TRENINGU
W1_1=12.411882, W1_2=0.135636, W2_1=-5.138792, W2_2=-0.940379
B1=0.670525, B2=0.220369
W3_1=-3.019705, W3_2=2.273423, W4_1=3.019705, W4_2=-2.273423
B3=0.515880, B4=-0.515880

TEST PO TRENINGU
Wejście: -0.131, -0.437 -> Wyjście: [0.950, 0.050] | Oczekiwane: [1, 0]| OK
Wejście: -0.284, -0.126 -> Wyjście: [0.980, 0.020] | Oczekiwane: [1, 0]| OK
Wejście: 0.082, -0.938 -> Wyjście: [0.299, 0.701] | Oczekiwane: [0, 1]| OK
Wejście: 0.095, 0.044 -> Wyjście: [0.102, 0.898] | Oczekiwane: [0, 1]| OK
Wejście: -0.111, 0.540 -> Wyjście: [0.827, 0.173] | Oczekiwane: [1, 0]| OK
Wejście: -0.085, 0.168 -> Wyjście: [0.805, 0.195] | Oczekiwane: [1, 0]| OK
Wejście: -0.261, -0.556 -> Wyjście: [0.981, 0.019] | Oczekiwane: [1, 0]| OK
Wejście: -0.210, -1.719 -> Wyjście: [0.982, 0.018] | Oczekiwane: [1, 0]| OK
Wejście: -0.157, -1.525 -> Wyjście: [0.975, 0.025] | Oczekiwane: [1, 0]| OK
Wejście: 0.039, 2.522 -> Wyjście: [0.038, 0.962] | Oczekiwane: [0, 1]| OK
Wejście: -0.079, 1.720 -> Wyjście: [0.323, 0.677] | Oczekiwane: [0, 1]| OK
Wejście: -0.084, 0.754 -> Wyjście: [0.642, 0.358] | Oczekiwane: [1, 0]| OK
Wejście: -0.088, 0.311 -> Wyjście: [0.788, 0.212] | Oczekiwane: [0, 1]| BŁĄD
Wejście: 0.051, 0.827 -> Wyjście: [0.076, 0.924] | Oczekiwane: [0, 1]| OK
Wejście: 0.054, -0.085 -> Wyjście: [0.186, 0.814] | Oczekiwane: [0, 1]| OK
Wejście: -0.103, -0.542 -> Wyjście: [0.927, 0.073] | Oczekiwane: [1, 0]| OK
Wejście: 0.027, -0.314 -> Wyjście: [0.328, 0.672] | Oczekiwane: [0, 1]| OK
Wejście: 0.236, -0.429 -> Wyjście: [0.061, 0.939] | Oczekiwane: [0, 1]| OK
Wejście: 0.047, 1.035 -> Wyjście: [0.067, 0.933] | Oczekiwane: [0, 1]| OK
Wejście: -0.033, 0.894 -> Wyjście: [0.273, 0.727] | Oczekiwane: [0, 1]| OK
Wejście: -0.150, 0.174 -> Wyjście: [0.940, 0.060] | Oczekiwane: [1, 0]| OK
Wejście: 0.118, -0.238 -> Wyjście: [0.112, 0.888] | Oczekiwane: [0, 1]| OK
Wejście: 0.039, -0.016 -> Wyjście: [0.210, 0.790] | Oczekiwane: [0, 1]| OK
Wejście: -0.034, 0.004 -> Wyjście: [0.571, 0.429] | Oczekiwane: [1, 0]| OK
Wejście: -0.164, 0.103 -> Wyjście: [0.953, 0.047] | Oczekiwane: [1, 0]| OK
Wejście: 0.139, 2.043 -> Wyjście: [0.027, 0.973] | Oczekiwane: [0, 1]| OK
Wejście: -0.124, 0.813 -> Wyjście: [0.818, 0.182] | Oczekiwane: [1, 0]| OK
Wejście: -0.001, 0.722 -> Wyjście: [0.181, 0.819] | Oczekiwane: [1, 0]| BŁĄD
Wejście: 0.203, 0.480 -> Wyjście: [0.036, 0.964] | Oczekiwane: [0, 1]| OK
Wejście: -0.095, -1.801 -> Wyjście: [0.952, 0.048] | Oczekiwane: [1, 0]| OK
Wejście: -0.049, 0.131 -> Wyjście: [0.625, 0.375] | Oczekiwane: [1, 0]| OK
Wejście: -0.002, 1.640 -> Wyjście: [0.086, 0.914] | Oczekiwane: [0, 1]| OK
Wejście: -0.143, -0.139 -> Wyjście: [0.949, 0.051] | Oczekiwane: [1, 0]| OK
