Height,Weight,D1,D2
190.75,71.14,0,1
171.09,87.8,0,1
174.4,80.63,0,1
141.31,52.13,1,0
138.09,63.06,1,0
155.06,84.34,0,1
168.04,92.24,0,1
168.14,88.04,0,1
163.84,78.58,0,1
165.65,35.41,1,0
137.1,73.36,1,0
178.76,66.12,0,1
163.96,78.33,0,1
160.86,63.68,0,1
169.6,60.53,0,1
174.31,78.18,0,1
155.24,80.46,1,0
159.07,71.68,1,0
142.03,56.3,1,0
151.53,91.02,0,1
159.81,61.4,1,0
149.4,63.92,1,0
173.64,59.52,1,0
174.34,84.76,0,1
133.58,63.28,1,0
184.62,72.51,0,1
166.62,75.18,0,1
153.5,58.89,1,0
162.56,87.36,0,1
165.7,59.89,0,1
